Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1,,Afghanistan,1/22/20,0,0
2,,Afghanistan,1/23/20,0,0
3,,Afghanistan,1/24/20,0,0
4,,Afghanistan,1/25/20,0,0
5,,Afghanistan,1/26/20,0,0
6,,Afghanistan,1/27/20,0,0
7,,Afghanistan,1/28/20,0,0
8,,Afghanistan,1/29/20,0,0
9,,Afghanistan,1/30/20,0,0
10,,Afghanistan,1/31/20,0,0
11,,Afghanistan,2/1/20,0,0
12,,Afghanistan,2/2/20,0,0
13,,Afghanistan,2/3/20,0,0
14,,Afghanistan,2/4/20,0,0
15,,Afghanistan,2/5/20,0,0
16,,Afghanistan,2/6/20,0,0
17,,Afghanistan,2/7/20,0,0
18,,Afghanistan,2/8/20,0,0
19,,Afghanistan,2/9/20,0,0
20,,Afghanistan,2/10/20,0,0
21,,Afghanistan,2/11/20,0,0
22,,Afghanistan,2/12/20,0,0
23,,Afghanistan,2/13/20,0,0
24,,Afghanistan,2/14/20,0,0
25,,Afghanistan,2/15/20,0,0
26,,Afghanistan,2/16/20,0,0
27,,Afghanistan,2/17/20,0,0
28,,Afghanistan,2/18/20,0,0
29,,Afghanistan,2/19/20,0,0
30,,Afghanistan,2/20/20,0,0
31,,Afghanistan,2/21/20,0,0
32,,Afghanistan,2/22/20,0,0
33,,Afghanistan,2/23/20,0,0
34,,Afghanistan,2/24/20,1,0
35,,Afghanistan,2/25/20,1,0
36,,Afghanistan,2/26/20,1,0
37,,Afghanistan,2/27/20,1,0
38,,Afghanistan,2/28/20,1,0
39,,Afghanistan,2/29/20,1,0
40,,Afghanistan,3/1/20,1,0
41,,Afghanistan,3/2/20,1,0
42,,Afghanistan,3/3/20,1,0
43,,Afghanistan,3/4/20,1,0
44,,Afghanistan,3/5/20,1,0
45,,Afghanistan,3/6/20,1,0
46,,Afghanistan,3/7/20,1,0
47,,Afghanistan,3/8/20,4,0
48,,Afghanistan,3/9/20,4,0
49,,Afghanistan,3/10/20,5,0
50,,Afghanistan,3/11/20,7,0
51,,Afghanistan,3/12/20,7,0
52,,Afghanistan,3/13/20,7,0
53,,Afghanistan,3/14/20,11,0
54,,Afghanistan,3/15/20,16,0
55,,Afghanistan,3/16/20,21,0
56,,Afghanistan,3/17/20,22,0
57,,Afghanistan,3/18/20,22,0
58,,Afghanistan,3/19/20,22,0
59,,Afghanistan,3/20/20,24,0
60,,Afghanistan,3/21/20,24,0
61,,Afghanistan,3/22/20,40,1
62,,Afghanistan,3/23/20,40,1
63,,Afghanistan,3/24/20,74,1
64,,Afghanistan,3/25/20,84,2
65,,Afghanistan,3/26/20,94,4
66,,Afghanistan,3/27/20,110,4
67,,Afghanistan,3/28/20,110,4
68,,Afghanistan,3/29/20,120,4
69,,Afghanistan,3/30/20,170,4
70,,Afghanistan,3/31/20,174,4
71,,Afghanistan,4/1/20,237,4
72,,Afghanistan,4/2/20,273,6
73,,Afghanistan,4/3/20,281,6
74,,Afghanistan,4/4/20,299,7
75,,Afghanistan,4/5/20,349,7
76,,Afghanistan,4/6/20,367,11
77,,Afghanistan,4/7/20,423,14
78,,Afghanistan,4/8/20,444,14
79,,Afghanistan,4/9/20,484,15
80,,Afghanistan,4/10/20,521,15
81,,Afghanistan,4/11/20,555,18
82,,Afghanistan,4/12/20,607,18
83,,Afghanistan,4/13/20,665,21
84,,Afghanistan,4/14/20,714,23
85,,Afghanistan,4/15/20,784,25
86,,Afghanistan,4/16/20,840,30
87,,Afghanistan,4/17/20,906,30
88,,Afghanistan,4/18/20,933,30
89,,Afghanistan,4/19/20,996,33
90,,Afghanistan,4/20/20,1026,36
91,,Afghanistan,4/21/20,1092,36
92,,Afghanistan,4/22/20,1176,40
93,,Afghanistan,4/23/20,1279,42
94,,Afghanistan,4/24/20,1351,43
95,,Afghanistan,4/25/20,1463,47
96,,Afghanistan,4/26/20,1531,50
97,,Afghanistan,4/27/20,1703,57
98,,Afghanistan,4/28/20,1828,58
99,,Afghanistan,4/29/20,1939,60
100,,Afghanistan,4/30/20,2171,64
101,,Afghanistan,5/1/20,2335,68
102,,Afghanistan,5/2/20,2469,72
103,,Afghanistan,5/3/20,2704,85
104,,Afghanistan,5/4/20,2894,90
105,,Afghanistan,5/5/20,3224,95
106,,Afghanistan,5/6/20,3392,104
107,,Afghanistan,5/7/20,3563,106
108,,Afghanistan,5/8/20,3778,109
109,,Afghanistan,5/9/20,4033,115
110,,Afghanistan,5/10/20,4402,120
111,,Afghanistan,5/11/20,4687,122
112,,Afghanistan,5/12/20,4963,127
113,,Afghanistan,5/13/20,5226,132
114,,Afghanistan,5/14/20,5639,136
115,,Afghanistan,5/15/20,6053,153
116,,Albania,1/22/20,0,0
117,,Albania,1/23/20,0,0
118,,Albania,1/24/20,0,0
119,,Albania,1/25/20,0,0
120,,Albania,1/26/20,0,0
121,,Albania,1/27/20,0,0
122,,Albania,1/28/20,0,0
123,,Albania,1/29/20,0,0
124,,Albania,1/30/20,0,0
125,,Albania,1/31/20,0,0
126,,Albania,2/1/20,0,0
127,,Albania,2/2/20,0,0
128,,Albania,2/3/20,0,0
129,,Albania,2/4/20,0,0
130,,Albania,2/5/20,0,0
131,,Albania,2/6/20,0,0
132,,Albania,2/7/20,0,0
133,,Albania,2/8/20,0,0
134,,Albania,2/9/20,0,0
135,,Albania,2/10/20,0,0
136,,Albania,2/11/20,0,0
137,,Albania,2/12/20,0,0
138,,Albania,2/13/20,0,0
139,,Albania,2/14/20,0,0
140,,Albania,2/15/20,0,0
141,,Albania,2/16/20,0,0
142,,Albania,2/17/20,0,0
143,,Albania,2/18/20,0,0
144,,Albania,2/19/20,0,0
145,,Albania,2/20/20,0,0
146,,Albania,2/21/20,0,0
147,,Albania,2/22/20,0,0
148,,Albania,2/23/20,0,0
149,,Albania,2/24/20,0,0
150,,Albania,2/25/20,0,0
151,,Albania,2/26/20,0,0
152,,Albania,2/27/20,0,0
153,,Albania,2/28/20,0,0
154,,Albania,2/29/20,0,0
155,,Albania,3/1/20,0,0
156,,Albania,3/2/20,0,0
157,,Albania,3/3/20,0,0
158,,Albania,3/4/20,0,0
159,,Albania,3/5/20,0,0
160,,Albania,3/6/20,0,0
161,,Albania,3/7/20,0,0
162,,Albania,3/8/20,0,0
163,,Albania,3/9/20,2,0
164,,Albania,3/10/20,10,0
165,,Albania,3/11/20,12,1
166,,Albania,3/12/20,23,1
167,,Albania,3/13/20,33,1
168,,Albania,3/14/20,38,1
169,,Albania,3/15/20,42,1
170,,Albania,3/16/20,51,1
171,,Albania,3/17/20,55,1
172,,Albania,3/18/20,59,2
173,,Albania,3/19/20,64,2
174,,Albania,3/20/20,70,2
175,,Albania,3/21/20,76,2
176,,Albania,3/22/20,89,2
177,,Albania,3/23/20,104,4
178,,Albania,3/24/20,123,5
179,,Albania,3/25/20,146,5
180,,Albania,3/26/20,174,6
181,,Albania,3/27/20,186,8
182,,Albania,3/28/20,197,10
183,,Albania,3/29/20,212,10
184,,Albania,3/30/20,223,11
185,,Albania,3/31/20,243,15
186,,Albania,4/1/20,259,15
187,,Albania,4/2/20,277,16
188,,Albania,4/3/20,304,17
189,,Albania,4/4/20,333,20
190,,Albania,4/5/20,361,20
191,,Albania,4/6/20,377,21
192,,Albania,4/7/20,383,22
193,,Albania,4/8/20,400,22
194,,Albania,4/9/20,409,23
195,,Albania,4/10/20,416,23
196,,Albania,4/11/20,433,23
197,,Albania,4/12/20,446,23
198,,Albania,4/13/20,467,23
199,,Albania,4/14/20,475,24
200,,Albania,4/15/20,494,25
201,,Albania,4/16/20,518,26
202,,Albania,4/17/20,539,26
203,,Albania,4/18/20,548,26
204,,Albania,4/19/20,562,26
205,,Albania,4/20/20,584,26
206,,Albania,4/21/20,609,26
207,,Albania,4/22/20,634,27
208,,Albania,4/23/20,663,27
209,,Albania,4/24/20,678,27
210,,Albania,4/25/20,712,27
211,,Albania,4/26/20,726,28
212,,Albania,4/27/20,736,28
213,,Albania,4/28/20,750,30
214,,Albania,4/29/20,766,30
215,,Albania,4/30/20,773,31
216,,Albania,5/1/20,782,31
217,,Albania,5/2/20,789,31
218,,Albania,5/3/20,795,31
219,,Albania,5/4/20,803,31
220,,Albania,5/5/20,820,31
221,,Albania,5/6/20,832,31
222,,Albania,5/7/20,842,31
223,,Albania,5/8/20,850,31
224,,Albania,5/9/20,856,31
225,,Albania,5/10/20,868,31
226,,Albania,5/11/20,872,31
227,,Albania,5/12/20,876,31
228,,Albania,5/13/20,880,31
229,,Albania,5/14/20,898,31
230,,Albania,5/15/20,916,31
231,,Algeria,1/22/20,0,0
232,,Algeria,1/23/20,0,0
233,,Algeria,1/24/20,0,0
